geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
4850061,ru,NA,"Северная Америка",US,"США",IA,"Айова","","","",637,America/Chicago,0
4869454,ru,NA,"Северная Америка",US,"США",IA,"Айова","","","",652,America/Chicago,0
4883078,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",602,America/Chicago,0
4883687,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",602,America/Chicago,0
4902486,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",602,America/Chicago,0
4911600,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","Скоки",602,America/Chicago,0
4915533,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",717,America/Chicago,0
4974723,ru,NA,"Северная Америка",US,"США",ME,"Мэн","","","",537,America/New_York,0
4979352,ru,NA,"Северная Америка",US,"США",ME,"Мэн","","","",537,America/New_York,0
4982671,ru,NA,"Северная Америка",US,"США",ME,"Мэн","","","",500,America/New_York,0
5006404,ru,NA,"Северная Америка",US,"США",MI,"Мичиган","","","",553,America/Menominee,0
5006581,ru,NA,"Северная Америка",US,"США",MI,"Мичиган","","","",563,America/Detroit,0
5023465,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","Крукстон",724,America/Chicago,0
5025807,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","",724,America/Chicago,0
5026416,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","Фергус-Фолс",724,America/Chicago,0
5026959,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","Фладвуд",676,America/Chicago,0
5029288,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","",737,America/Chicago,0
5031678,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","Джексон",613,America/Chicago,0
5039978,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","Окдейл",613,America/Chicago,0
5044347,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","",613,America/Chicago,0
5048480,ru,NA,"Северная Америка",US,"США",MN,"Миннесота","","","",676,America/Chicago,0
5058715,ru,NA,"Северная Америка",US,"США",ND,"Северная Дакота","","","",724,America/Chicago,0
5062292,ru,NA,"Северная Америка",US,"США",ND,"Северная Дакота","","","",724,America/Chicago,0
5067646,ru,NA,"Северная Америка",US,"США",NE,"Небраска","","","",722,America/Chicago,0
5075991,ru,NA,"Северная Америка",US,"США",NE,"Небраска","","","Рандольф",624,America/Chicago,0
5083731,ru,NA,"Северная Америка",US,"США",NH,"Нью-Гэмпшир","","","",506,America/New_York,0
5089850,ru,NA,"Северная Америка",US,"США",NH,"Нью-Гэмпшир","","","",500,America/New_York,0
5090383,ru,NA,"Северная Америка",US,"США",NH,"Нью-Гэмпшир","","","",506,America/New_York,0
5092346,ru,NA,"Северная Америка",US,"США",NH,"Нью-Гэмпшир","","","",500,America/New_York,0
5093422,ru,NA,"Северная Америка",US,"США",NH,"Нью-Гэмпшир","","","",506,America/New_York,0
5097006,ru,NA,"Северная Америка",US,"США",NJ,"Нью-Джерси","","","",501,America/New_York,0
5099060,ru,NA,"Северная Америка",US,"США",NJ,"Нью-Джерси","","","",501,America/New_York,0
5112771,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",514,America/New_York,0
5114585,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",514,America/New_York,0
5117864,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","Франклин",502,America/New_York,0
